"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","2","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest3","someTest3()",""
"failed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.NegativeTests","","simple.tests.NegativeTests","someTest3","someTest3()",""
"failed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","32","","simple.tests.NegativeTests","","simple.tests.NegativeTests","someTest1","someTest1()",""
"skipped","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","0","","simple.tests.SkippedTests","","simple.tests.SkippedTests","someTest1","someTest1()",""
"failed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.NegativeTests","","simple.tests.NegativeTests","someTest4","someTest4()",""
"skipped","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","0","","simple.tests.SkippedTests","","simple.tests.SkippedTests","someTest","someTest()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest7","someTest7()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest9","someTest9()",""
"failed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.NegativeTests","","simple.tests.NegativeTests","someTest5","someTest5()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest5","someTest5()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest4","someTest4()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest6","someTest6()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest","someTest()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest1","someTest1()",""
"failed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","2","","simple.tests.NegativeTests","","simple.tests.NegativeTests","someTest2","someTest2()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest8","someTest8()",""
"passed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.PositiveTests","","simple.tests.PositiveTests","someTest2","someTest2()",""
"failed","Tue May 23 22:48:48 MSK 2023","Tue May 23 22:48:48 MSK 2023","1","","simple.tests.NegativeTests","","simple.tests.NegativeTests","someTest6","someTest6()",""
